episode_step	action	reward	q_value	done	state_time_norm	state_queue_norm	state_wait_norm	state_density_norm	state_speed_norm	state_flow_norm	next_state_time_norm	next_state_queue_norm	next_state_wait_norm	next_state_density_norm	next_state_speed_norm	next_state_flow_norm
152	0	17.353368	1.733603	False	1.000000	1.000000	0.024300	0.094400	1.000000	0.016700	1.000000	1.000000	0.024400	0.088700	1.000000	0.016700
153	0	17.224894	1.720769	False	1.000000	1.000000	0.024400	0.088700	1.000000	0.016700	1.000000	1.000000	0.024600	0.083800	1.000000	0.016700
154	0	17.135530	1.711841	False	1.000000	1.000000	0.024600	0.083800	1.000000	0.016700	1.000000	1.000000	0.024800	0.087100	1.000000	0.016700
155	0	17.155908	1.713877	False	1.000000	1.000000	0.024800	0.087100	1.000000	0.016700	1.000000	1.000000	0.024800	0.087800	1.000000	0.016700
156	0	17.352196	1.733486	False	1.000000	1.000000	0.024800	0.087800	1.000000	0.016700	1.000000	1.000000	0.024900	0.090400	1.000000	0.016700
157	0	17.359372	1.734203	False	1.000000	1.000000	0.024900	0.090400	1.000000	0.016700	1.000000	1.000000	0.025200	0.088700	1.000000	0.016700
158	0	16.936934	1.692001	False	1.000000	1.000000	0.025200	0.088700	1.000000	0.016700	1.000000	1.000000	0.025300	0.083900	1.000000	0.016700
159	1	16.803574	1.678679	False	1.000000	1.000000	0.025300	0.083900	1.000000	0.016700	1.000000	1.000000	0.025200	0.083100	1.000000	0.016700
160	0	16.897070	1.688019	False	1.000000	1.000000	0.025200	0.083100	1.000000	0.016700	1.000000	1.000000	0.025400	0.082100	1.000000	0.016700
161	0	16.913987	1.689709	False	1.000000	1.000000	0.025400	0.082100	1.000000	0.016700	1.000000	1.000000	0.025300	0.080000	1.000000	0.016700
162	0	17.362843	1.734550	False	1.000000	1.000000	0.025300	0.080000	1.000000	0.016700	1.000000	1.000000	0.025400	0.083700	1.000000	0.016700
163	0	16.933835	1.691692	False	1.000000	1.000000	0.025400	0.083700	1.000000	0.016700	1.000000	1.000000	0.025500	0.083700	1.000000	0.016700
164	0	17.240970	1.722375	False	1.000000	1.000000	0.025500	0.083700	1.000000	0.016700	1.000000	1.000000	0.025600	0.083900	1.000000	0.016700
165	0	17.175852	1.715869	False	1.000000	1.000000	0.025600	0.083900	1.000000	0.016700	1.000000	1.000000	0.025700	0.083700	1.000000	0.016700
166	0	17.124065	1.710696	False	1.000000	1.000000	0.025700	0.083700	1.000000	0.016700	1.000000	1.000000	0.025800	0.082100	1.000000	0.016700
167	0	17.049409	1.703238	False	1.000000	1.000000	0.025800	0.082100	1.000000	0.016700	1.000000	1.000000	0.025900	0.080800	1.000000	0.016700
168	0	17.356023	1.733868	False	1.000000	1.000000	0.025900	0.080800	1.000000	0.016700	1.000000	1.000000	0.026200	0.080000	1.000000	0.016700
169	0	17.747868	1.773014	False	1.000000	1.000000	0.026200	0.080000	1.000000	0.016700	1.000000	1.000000	0.026200	0.081700	1.000000	0.016700
170	2	17.689429	1.767176	False	1.000000	1.000000	0.026200	0.081700	1.000000	0.016700	1.000000	1.000000	0.026400	0.082900	1.000000	0.016700
171	0	17.663757	1.764611	False	1.000000	1.000000	0.026400	0.082900	1.000000	0.016700	1.000000	1.000000	0.026400	0.083500	1.000000	0.016700
172	0	17.491416	1.747394	False	1.000000	1.000000	0.026400	0.083500	1.000000	0.016700	1.000000	1.000000	0.026500	0.082800	1.000000	0.016700
173	0	17.422598	1.740519	False	1.000000	1.000000	0.026500	0.082800	1.000000	0.016700	1.000000	1.000000	0.026400	0.081200	1.000000	0.016700
174	0	17.677476	1.765982	False	1.000000	1.000000	0.026400	0.081200	1.000000	0.016700	1.000000	1.000000	0.026400	0.079000	1.000000	0.016700
175	0	17.424240	1.740683	False	1.000000	1.000000	0.026400	0.079000	1.000000	0.016700	1.000000	1.000000	0.026400	0.076500	1.000000	0.016700
176	0	17.822958	1.780515	False	1.000000	1.000000	0.026400	0.076500	1.000000	0.016700	1.000000	1.000000	0.026700	0.075900	1.000000	0.016700
177	0	17.871210	1.785336	False	1.000000	1.000000	0.026700	0.075900	1.000000	0.016700	1.000000	1.000000	0.026600	0.074400	1.000000	0.016700
